radius,country,Code 2,Code 3,# Code,worth,latitude,longitude,fillKey
363,United States,US,USA,840,"2,235",38,-97,USA
102,China,CN,CHN,156,388.3,35,105,USA
59,Germany,DE,DEU,276,306.8,51,9,USA
43,Russia,RU,RUS,643,264.5,60,100,USA
42,India,IN,IND,356,226.6,20,77,USA
28,Brazil,BR,BRA,76,146.4,-10,-55,USA
28,United Kingdom,GB,GBR,826,127,54,-2,USA
25,France,FR,FRA,250,210.6,46,2,USA
20,Italy,IT,ITA,380,116,42.83,12.83,USA
20,Sweden,SE,SWE,752,106.1,62,15,USA
19,Canada,CA,CAN,124,93.6,60,-95,USA
18,Switzerland,CH,CHE,756,80.6,47,8,USA
18,Taiwan,TW,TWN,158,74.5,23.5,121,USA
14,Spain,ES,ESP,724,100,40,-4,USA
12,Turkey,TR,TUR,792,31.8,39,35,USA
12,Australia,AU,AUS,40,20.5,-27,133,USA
11,Japan,JP,JPN,392,72.9,36,138,USA
11,Indonesia,ID,IDN,360,58.5,-55,120,USA
10,Singapore,SG,SGP,702,146.4,1.36,103.8,USA
9,Philippines,PH,PHL,608,47.6,13,122,USA
9,South Korea,KP,PRK,408,44.9,40,127,USA
9,Israel,IL,ISR,376,36.9,31.5,34.75,USA
9,Chile,CL,CHL,152,33.8,-30,-71,USA
7,Malaysia,MY,MYS,458,40.6,2.5,112.5,USA
12,Mexico,MX,MEX,484,38.5,23,-102,USA
7,Egypt,EG,EGY,818,22,27,30,USA
6,Saudi Arabia,SA,SAU,682,46.3,25,45,USA
6,Thailand,TH,THA,764,41.7,15,100,USA
6,South Africa,ZA,ZAF,710,21.8,-29,24,USA
5,Denmark,DK,DNK,208,25.6,56,10,USA
5,Austria,AT,AUT,40,24.7,47.3,13.3,USA
5,Netherlands,NL,NLD,528,22.7,52.5,5.75,USA
5,Norway,NO,NOR,578,15.7,62,10,USA
4,Ireland,IE,IRL,372,25.7,53,-8,USA
4,Colombia,CO,COL,170,21.7,4,-72,USA
4,United Arab Emirates,AE,ARE,784,19,24,54,USA
3,Nigeria,NG,NGA,566,22.7,10,8,USA
3,Lebanon,LB,LBN,422,8.9,33.83,35.83,USA
3,Greece,GR,GRC,300,6.5,39,22,USA
2,Ukraine,UA,UKR,804,13.6,49,32,USA
2,Cyprus,CY,CYP,196,12.5,35,33,USA
2,Czech Republic,CZ,CZE,203,11.4,49.75,15.5,USA
2,New Zealand,NZ,NZL,554,10.2,-41,174,USA
2,Poland,PL,POL,616,6,52,20,USA
2,Portugal,PT,PRT,620,6,39.5,-8,USA
1,Venezuela,VE,VEN,862,9.8,8,-66,USA
1,Georgia,GE,GEO,268,5.2,42,43.5,USA
1,Argentina,AR,ARG,32,5.2,-4,-64,USA
1,Belgium,BE,BEL,56,4.1,50.83,4,USA
1,Finland,FI,FIN,246,3.8,64,26,USA
1,Swaziland,SZ,SWZ,748,3.8,-26.5,31.5,USA
1,Algeria,DZ,DZA,12,3.1,28,3,USA
1,Angola,AO,AGO,24,3.1,-12.5,18.5,USA
1,Morocco,MA,MAR,504,2.3,32,-5,USA
1,Peru,PE,PER,604,2.2,-10,-76,USA
1,Kazakhstan,KP,KAZ,398,2,48,68,USA
1,Argentina,AR,ARG,32,1.9,-34,-64,USA
